,mutual_info,rf_importance,mi_rank,rf_rank,combined_rank
amount,0.03835685490226415,0.2962109251240663,1.0,1.0,1.0
account_age_days,0.009933817348801055,0.14855032091706766,3.0,2.0,2.5
distance_from_home_km,0.007478726879059705,0.133989633980677,4.0,3.0,3.5
transaction_velocity_1h,0.0105159510408952,0.06310020826575752,2.0,5.0,3.5
hour,0.004677484835264645,0.05240360609502053,6.0,6.0,6.0
is_international,0.0050154040814816,0.03781737498986776,5.0,7.0,6.0
has_chargeback_history,0.004664791893052467,0.033646209556898635,7.0,8.0,7.5
avg_ticket_30d,0.0008817928505528982,0.07015562148353793,14.0,4.0,9.0
is_night_txn,0.0027568687864862884,0.011592542701882279,10.0,10.0,10.0
channel_in_store,0.0036928835077096878,0.01029764164734694,9.0,11.0,10.0
day_of_week,0.0018634437076752164,0.03131890365543393,12.0,9.0,10.5
device_type_mobile,0.000711484096974635,0.009576508385550369,17.0,12.0,14.5
merchant_category_travel,0.003713756566825488,0.006320268724234657,8.0,21.0,14.5
device_type_desktop,0.0007226966171220983,0.007943676485013979,16.0,14.0,15.0
channel_online,0.0004731902096846152,0.009526547712037734,19.0,13.0,16.0
is_weekend,0.0,0.007706101852745847,21.0,15.0,18.0
merchant_category_utilities,0.0012459192508424977,0.006187801183716055,13.0,24.0,18.5
device_type_pos_terminal,0.0,0.007551195119009111,21.0,16.0,18.5
merchant_category_gaming,0.000556083520786288,0.006728001726034863,18.0,20.0,19.0
merchant_category_groceries,0.0,0.007504295933988971,21.0,17.0,19.0
device_type_tablet,0.0007895683118841479,0.00626119901250799,15.0,23.0,19.0
merchant_category_cash_withdrawal,0.0020279577125383863,0.0020443306255225682,11.0,28.0,19.5
merchant_category_fashion,0.0,0.006961841761389645,21.0,18.0,19.5
merchant_category_electronics,0.0,0.006908944276920593,21.0,19.0,20.0
merchant_category_food_delivery,0.0002816337493081189,0.006293933202438964,20.0,22.0,21.0
merchant_category_healthcare,0.0,0.004548181774322488,21.0,25.0,23.0
channel_atm,0.0,0.004454812737872142,21.0,26.0,23.5
merchant_category_fuel,0.0,0.004399371069137496,21.0,27.0,24.0
